Date;Review Rating;Title;Verbatim Native;Product Description;Segment;Version;Comment ID
01/02/2025;5;H&S SE SUPERA A SI MISMO.;Acabo de compralo ayer mismo , ha sido toda un descubrimiento para mi cabello. Ya venía utilizando h&s anticaspa, y ahora además hay que sumar el cuidado de mi pelo.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;312414364
04/09/2024;5;Cabello perfecto;Mi cabello desde la primera lavada a quedado más suave y sedoso,  ahora tiene brillo natural;Champú H&S DermaXPro;Shampoo;Soothe;301095538
30/06/2024;5;Champú revitalizante;Esté champú es buenísimo, mi cuero cabelludo tenía impurezas y caspa, lo utilice durante dos semanas y me las elimino por completo. Te deja el pelo fresco y limpio.;DermaXpro Champú Revitalizante;Shampoo;Revitalize;292392647
12/06/2024;4;Revitaliza el cuero cabelludo seco;Me encanta la sensación de frescor que deja en el cuero cabelludo, además es u moroducto anticaida que ayuda a que mi pelo esté más fuerte;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;291874851
12/06/2024;5;Funciona;Probé este champú por el efecto anticaida y mi sorpresa a ha sido muy positiva porque realmente he notado una menor caída del pelo . Huele muy bien y deja un efecto fresco en la cabeza;DermaXpro Champú Revitalizante;Shampoo;Revitalize;291878641
27/05/2024;5;Deja el pelo increíble;Hace un mes que comencé a utilizar el acondicionador y deja el pelo super suave y desenredado, además de tener una fragancia muy agradable.;Acondicionador H&S DermaXPro;Hair Conditioner;Soothe;285485150
19/05/2024;5;Eliminación picores;Desde que lo llevo usando en mis lavados de cabello 2 o 3 veces en semana , he observado una mejoría en los picores del cuero cabelludo y la disminución de la descamación que vengo sufriendo por estaciones;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;284077426
04/03/2024;5;Muy bueno;Lo compré por problemas de cuero cabelludo y la verdad me va muy bien los picores se han reducido mucho el pelo muy hidratado y limpio seguiré usandolo;Champú H&S DermaXPro;Shampoo;Soothe;237972723
29/02/2024;5;Tratamiento muy efectivo;En un mes de uso de la gama completa DermaXPro revitalizante he notado bastante mejoría ya que antes notaba mi cabello frágil y quebradizo, además se me caía bastante y el cuero cabelludo reseco y a veces con picor. Por ello empecé a usar los productos DermaXPro con muy buenas sensaciones y espero que con el uso prolongado aún tenga mejores resultados. Este tratamiento además es muy fácil de aplicar gracias a su aplicador incorporado y cómodo al ser sin aclarado, ya que puedo usarlo en cualquier momento del día.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;237561525
25/02/2024;5;Deja el pelo fenomenal;Este tratamiento se aplica fácilmente y tiene resultados claros en pocos dias.;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;236812673
23/02/2024;5;Tratamiento hidratante;Compré este producto hace unas semanas y tengo que decir que funciona de verdad. Noto mi pelo mucho más hidratado y sano, se me cae mucho menos el cabello y me encanta la sensación de frescura que deja nada más usarlo. Realmente lo recomiendo totalmente;Tratamiento Hidratante Sin Aclarado H&S DermaXPro;Hair Treatments;Revitalize;236814125
