Date,Review Rating,verbatims,tokens
2025-02-01,5,"H&S SE SUPERA A SI MISMO.. Acabo de compralo ayer mismo , ha sido toda un descubrimiento para mi cabello. Ya venía utilizando h&s anticaspa, y ahora además hay que sumar el cuidado de mi pelo.","['superar', 'acabar', 'compralo', 'ayer', 'descubrimiento', 'pelo', 'veniar', 'utilizar', 'anticaspo', 'sumar', 'cuidado', 'pelo']"
2024-09-04,5,"Cabello perfecto. Mi cabello desde la primera lavada a quedado más suave y sedoso,  ahora tiene brillo natural","['pelo', 'perfecto', 'pelo', 'lavado', 'quedar', 'suave', 'sedoso', 'brillo', 'natural']"
2024-06-30,5,"Champú revitalizante. Esté champú es buenísimo, mi cuero cabelludo tenía impurezas y caspa, lo utilice durante dos semanas y me las elimino por completo. Te deja el pelo fresco y limpio.","['champu', 'revitalizante', 'champu', 'buenisimo', 'cuero', 'cabelludo', 'tenia', 'impureza', 'caspa', 'utilizar', 'semana', 'eliminar', 'completo', 'pelo', 'fresco', 'limpio']"
2024-06-12,4,"Revitaliza el cuero cabelludo seco. Me encanta la sensación de frescor que deja en el cuero cabelludo, además es u moroducto anticaida que ayuda a que mi pelo esté más fuerte","['revitalizar', 'cuero', 'cabelludo', 'seco', 'encantar', 'sensacion', 'frescor', 'cuero', 'cabelludo', 'moroducto', 'anticaido', 'ayudar', 'pelo', 'fuerte']"
2024-06-12,5,Funciona. Probé este champú por el efecto anticaida y mi sorpresa a ha sido muy positiva porque realmente he notado una menor caída del pelo . Huele muy bien y deja un efecto fresco en la cabeza,"['funcionar', 'probe', 'champu', 'efecto', 'anticaido', 'sorpresa', 'positivo', 'realmente', 'notar', 'menor', 'caida', 'pelo', 'oler', 'efecto', 'fresco', 'cabeza']"
2024-05-27,5,"Deja el pelo increíble. Hace un mes que comencé a utilizar el acondicionador y deja el pelo super suave y desenredado, además de tener una fragancia muy agradable.","['pelo', 'increible', 'mes', 'comence', 'utilizar', 'acondicionador', 'pelo', 'super', 'suave', 'desenredado', 'fragancia', 'agradable']"
2024-05-19,5,"Eliminación picores. Desde que lo llevo usando en mis lavados de cabello 2 o 3 veces en semana , he observado una mejoría en los picores del cuero cabelludo y la disminución de la descamación que vengo sufriendo por estaciones","['eliminacion', 'picor', 'llevar', 'lavado', 'pelo', 'semana', 'observar', 'mejoria', 'picor', 'cuero', 'cabelludo', 'disminucion', 'descamacion', 'venir', 'sufrir', 'estación']"
2024-03-04,5,Muy bueno. Lo compré por problemas de cuero cabelludo y la verdad me va muy bien los picores se han reducido mucho el pelo muy hidratado y limpio seguiré usandolo,"['problema', 'cuero', 'cabelludo', 'picor', 'reducir', 'pelo', 'hidratado', 'limpio', 'seguire', 'usar']"
2024-02-29,5,"Tratamiento muy efectivo. En un mes de uso de la gama completa DermaXPro revitalizante he notado bastante mejoría ya que antes notaba mi cabello frágil y quebradizo, además se me caía bastante y el cuero cabelludo reseco y a veces con picor. Por ello empecé a usar los productos DermaXPro con muy buenas sensaciones y espero que con el uso prolongado aún tenga mejores resultados. Este tratamiento además es muy fácil de aplicar gracias a su aplicador incorporado y cómodo al ser sin aclarado, ya que puedo usarlo en cualquier momento del día.","['tratamiento', 'efectivo', 'mes', 'gama', 'completo', 'dermaxpro', 'revitalizante', 'notar', 'mejorio', 'notar', 'pelo', 'fragil', 'quebradizo', 'caia', 'cuero', 'cabelludo', 'reseco', 'picor', 'empece', 'dermaxpro', 'sensación', 'esperar', 'prolongado', 'mejor', 'resultado', 'tratamiento', 'facil', 'aplicar', 'gracias', 'aplicador', 'incorporado', 'comodo', 'aclarar', 'usar', 'momento']"
2024-02-25,5,Deja el pelo fenomenal. Este tratamiento se aplica fácilmente y tiene resultados claros en pocos dias.,"['pelo', 'fenomenal', 'tratamiento', 'aplicar', 'facilmente', 'resultado', 'claro']"
